record - header - identifier,dc:contributor[@element=contributor][@qualifier=author],dc:date[@element=date][@qualifier=accessioned],dc:date[@element=date][@qualifier=available],dc:date[@element=date][@qualifier=issued],dc:identifier[@element=identifier][@qualifier=uri],dc:description[@element=description][@language=en],dc:description[@element=description][@qualifier=abstract][@language=en],dc:description[@element=description][@qualifier=provenance][@language=en],dc:format[@element=format][@qualifier=extent],dc:format[@element=format][@qualifier=mimetype],dc:language[@element=language][@qualifier=iso],dc:subject[@element=subject][@language=en],dc:title[@element=title][@language=en],dc:type[@element=type][@language=en],dc:subject[@element=subject],dc:description[@element=description][@qualifier=sponsorship][@language=en],dc:language[@element=language][@qualifier=iso][@language=en],dc:description[@element=description][@qualifier=abstract][@language=en_US],dc:language[@element=language][@qualifier=iso][@language=en_US],dc:subject[@element=subject][@language=en_US],dc:title[@element=title][@language=en_US],dc:type[@element=type][@language=en_US],dc:description[@element=description][@language=en_US],dc:description[@element=description][@qualifier=sponsorship][@language=en_US],dc:description[@element=description],dc:relation[@element=relation][@qualifier=ispartofseries][@language=en_US],dc:title[@element=title][@qualifier=alternative][@language=en_US],dc:contributor[@element=contributor][@qualifier=author][@language=en_US],dc:date[@element=date][@qualifier=issued][@language=en_US],dc:contributor[@element=contributor][@qualifier=advisor],dc:contributor[@element=contributor][@qualifier=other],dc:description[@element=description][@qualifier=abstract],dc:publisher[@element=publisher][@language=en_US],dc:rights[@element=rights][@language=*],dc:rights[@element=rights][@qualifier=uri][@language=*],dc:contributor[@element=contributor][@qualifier=chair],dc:identifier[@element=identifier][@qualifier=doi],dc:identifier[@element=identifier][@qualifier=doi][@language=en_US],dc:description[@element=description][@qualifier=provenance]
oai:ecommons.cornell.edu:1813/7837,"English, Justin",2007-06-29T13:24:36Z,2007-06-29T13:24:36Z,2007-06-29T13:24:36Z,http://hdl.handle.net/1813/7837,,"hMRE11 has recently been implicated as a primary factor in human mismatch repair (MMR), a process which acts to improve DNA replication fidelity.  Mutations in hMRE11 have been identified in human nonpolyposis colorectal cancer (HNPCC) related tumors and in vivo mutator assays suggest that knockdown of this gene causes frameshift mutations.  I report that the deletion of MRE11 from the Saccharomyces cerevisiae genome increases the mutation rate but does not significantly enhance the rate of frameshift mutations as seen in other yeast MMR mutants.  In addition, unlike in mammalian systems, I was unable to observe yeast two-hybrid interaction between MRE11 and MLH1.  This combined evidence suggests that MRE11 is unlikely to be a major player in yeast MMR.","Made available in DSpace on 2007-06-29T13:24:36Z (GMT). No. of bitstreams: 1
English, Justin.pdf: 546058 bytes, checksum: 22fa7f492eaf351e629fccb472177c41 (MD5)",546058 bytes,application/pdf,,,MRE11 is Unlikely to be an Essential Component of the Saccharomyces cerevisiae Mismatch Repair Pathway,Dissertation or Thesis,,,en_US,,,,,,,,,,,,,,,,,,,,,,
oai:ecommons.cornell.edu:1813/7838,"Fox, Andrew",2007-06-29T13:29:33Z,2007-06-29T13:29:33Z,2007-06-29T13:29:33Z,http://hdl.handle.net/1813/7838,,"The effects of synthetic aedeskinin III on transepithelial electrolyte and fluid secretion were studied in isolated Malpighian tubules of the yellow fever mosquito, Aedes aegypti.  Isolated Malpighian tubules were prepared for measurements of fluid secretion rates by the method of Ramsay. After measuring a control rate of fluid secretion, aedeskinin III was added to the peritubular Ringer solution.  Rates of transepithelial fluid secretion significantly increased in a dose-dependent manner at aedeskinin concentrations ranging from 10-5 to 10-9M.  Maximal stimulatory effects were observed at 1 ?M aedeskinin III, which increased the fluid secretion rate from 0.667 to 1.451 nl/min.  EC50 for aedeskinin III was calculated as 1.028x10-7M.  In the presence of 1 ?M aedeskinin III, the Na+ concentration in secreted fluid significantly decreased from 130.5 to 88.2 mM and the Cl- concentration in secreted fluid significantly decreased from 208.6 to 173.5 mM.  The increase in the K+ concentration from 82.1 mM to 90.3 mM was not significant.  The product of the fluid secretion rate and electrolyte secretion yields the electrolyte secretion rate.  Accordingly, the transepithelial secretion rate for Na+ increased from 96.3 pmols/min to 127.6 pmols/min, the K+ secretion rate increased from 61.6 pmols/min to 141.2 pmols/min, and the Cl- secretion rate increased from 153.9 to 257.5 pmols/min.  However, only the effects on K+ and Cl- secretion were statistically significant.  Synthetic aedeskinin-receptor agonists 1577 and 1460II also stimulated fluid secretion at 1 ?M concentrations, increasing fluid secretion rate from 0.716 to 1.224 nl/min and from 0.889 to 1.615 nl/min, respectively.  The in vitro longevity of isolated Malpighian tubules was also assessed.  Isolated tubules cultured in Ringer solution and Grace?s insect medium (pH 6.1) did not survive the process and did not secrete fluid one day after isolation.  However, when kept in Grace?s insect medium at pH 7.1, the tubules still secreted one day later.  These studies confirm that aedeskinin III has diuretic effects in Aedes Malpighian tubules.  Rates of transepithelial secretion of NaCl and KCl increased, suggesting that the mechanism of action of aedeskinin III is similar to that of leucokinin.  My study documents further and for the first time that synthetic analogs of aedeskinin containing ?-amino acids retain diuretic potency.","Made available in DSpace on 2007-06-29T13:29:33Z (GMT). No. of bitstreams: 1
Fox, Andrew.pdf: 302783 bytes, checksum: ab37de6d46401b59f858a74984905112 (MD5)",302783 bytes,application/pdf,,,The effects of aedeskinin III and analogues on transepithelial electrolyte and fluid secretion in Malpighian tubules of the yellow fever mosquito,Dissertation or Thesis,,,en_US,,,,,,,,,,,,,,,,,,,,,,
oai:ecommons.cornell.edu:1813/7839,"Gonzalez-Pagan, Omar",2007-06-29T13:36:53Z,2007-06-29T13:36:53Z,2007-06-29T13:36:53Z,http://hdl.handle.net/1813/7839,,"The coqui frog Eleutherodactylus coqui was unintentionally introduced to Hawaii in the late 1980?s. Since its introduction, the frog has been discovered in four islands: Oahu, Maui, Kauai, and Island of Hawaii. Much research has been done regarding the management of the coqui frog, including evaluation of control options involving the use citric acid, hydrated lime and chytrid fungus; however, little research has been done to address the societal impacts of the coqui frogs or the attitudes of Hawaii residents and their support for various management options. A self-administered mail questionnaire was used to evaluate Hawaii residents? perceptions toward the frog and its management.   (32.4% response rate, n=653). A majority (72.4%) of respondents do not enjoy the presence of the coqui frog and consider it a nuisance while others (20.1%) simply do not care about it. Residents of the Island of Hawaii and those who had been born in Hawaii State are more likely to consider the frog a nuisance and to favor the different management options compared to residents of other islands and those not born in Hawaii. Although most respondents considered it very important for the government to manage the coqui frog, support for management decreased when respondents were asked about their support for specific management methods, most of which are lethal to the frog.  Using the New Ecological Paradigm (NEP) Scale, it was revealed that most respondents tended to have a proenvironmental orientation. Respondents? knowledge and proenvironmental orientation were associated with the degree of management that they would support. However, a proenvironmental orientation was not always associated with support for the management of the coqui frog.  Managers may be able to use communication strategies to increase public understanding about the ecological impacts of the coqui and the implications of specific management options, appealing to Hawaii residents? proenvironmental orientation.","Made available in DSpace on 2007-06-29T13:36:53Z (GMT). No. of bitstreams: 1
Gonzales-Pagan, Omar.pdf: 185554 bytes, checksum: 1750916a3b5c8017cf17784589df07ec (MD5)",185554 bytes,application/pdf,,,Hawaii Residents' Attitudes Towards the Management of an Invasive Frog Species (Eleutherodactylus coqui),Dissertation or Thesis,,,en_US,,,,,,,,,,,,,,,,,,,,,,
oai:ecommons.cornell.edu:1813/7840,"Grummer, Jared",2007-06-29T13:42:11Z,2007-06-29T13:42:11Z,2007-06-29T13:42:11Z,http://hdl.handle.net/1813/7840,,"The production of two clutches within the same breeding season is uncommon amongst many shorebirds species, and even more rare is the act of double-brooding.  In late June of 2006, heavy rains flooded over 120 common tern (Sterna hirundo) nests, causing a re-nesting effort of over 140 pairs, and perhaps one case of double-brooding.  To evaluate the level of parental effort after a late-season flooding event, I weighed and then compared the eggs of the second clutches to corresponding egg data from the first clutches of 1983 and 1984 from the same colony on Oneida Lake, NY.  The mean egg weights from the second clutch of 2006 all weighed significantly less than the corresponding mean egg weights of the first clutches of 1983 and 1984.  In both first and second clutches, there was a linear decrease in egg weight with laying order.  Three hypotheses have been postulated to explain the intraclutch variation of egg weights, the ?brood-survival?, ?brood-reduction?, and ?insurance? hypotheses attempt.  Given the circumstances of 2006, the brood-reduction hypothesis fits best at explaining the intraclutch variation in egg weights.
The observed decline in parental effort late in the season can be explained by the ?timing? hypothesis, which in the case of this study included a decreased food supply and reduced breeding synchrony later in the season.  Certain aspects of the life history of common terns such as molt, which overlapped with the production of the second clutch, as well as the allocation of energy between parents in a bi-parental care system, also decreased the success of many second clutches.  Many adults associated with second clutch nests abandoned their eggs and/or chicks in order to enhance the probability of their own survival.","Made available in DSpace on 2007-06-29T13:42:11Z (GMT). No. of bitstreams: 1
Grummer, Jared.pdf: 197321 bytes, checksum: 5b1aafa5e3aba5b2150bcf5387b78d53 (MD5)",197321 bytes,application/pdf,,,Why does parental effort of the common tern (Sterna hirundo) decrease after a late-season flooding event?  A multi-hypothesis approach,Dissertation or Thesis,,,en_US,,,,,,,,,,,,,,,,,,,,,,
oai:ecommons.cornell.edu:1813/7842,"Hogan, Andrew",2007-06-29T14:03:20Z,2007-06-29T14:03:20Z,2007-06-29T14:03:20Z,http://hdl.handle.net/1813/7842,,"Plants respond to herbivore damage with a bewildering array of metabolic responses. To what degree such responses are specific to particular herbivore species and how plants respond to multiple attackers are questions of extensive scientific debate because their answers are fundamental to the understanding of the ecological consequences of plant induced responses to herbivory. In a field experiment, I investigate the nature of secondary metabolite and defensive protein production in Solidago altissima when elicited by two different herbivore species, the larvae of the galling fly Eurosta solidaginis and the chrysomelid beetle Trirhabda virgata, individually or at the same time. The chemical analysis of leaf tissue reveals differential responses in both trypsin proteinase inhibitor production and volatile organic compound emission when goldenrod plants are damaged by either herbivore individually or the two in combination. Our findings suggest damage-specific elicitation and signal transduction for each herbivore individually and for when both attack simultaneously.","Made available in DSpace on 2007-06-29T14:03:20Z (GMT). No. of bitstreams: 1
Hogan, Andrew.pdf: 189358 bytes, checksum: 7810c9ff943497a17cfba42d9df4ed5a (MD5)",189358 bytes,application/pdf,,,"Specificity of herbivore-induced secondary metabolite responses in tall goldenrod, Solidago altissima",Dissertation or Thesis,,,en_US,,,,,,,,,,,,,,,,,,,,,,
oai:ecommons.cornell.edu:1813/7843,"Kaan, Hung Yi Kristal",2007-06-29T14:09:49Z,2007-06-29T14:09:49Z,2007-06-29T14:09:49Z,http://hdl.handle.net/1813/7843,,"Sorting nexin 9 (SNX9) belongs to a larger family of BAR-domain containing proteins. It is characterized by an N-terminal Src homology 3 (SH3) domain, a phox homology (PX) domain, and a Bin/Amphiphysin/Rvs-homology (BAR) domain. Together with clathrin and dynamin, it functions mainly in the endocytic pathway to sort proteins. SNX9 has also been shown to regulate receptor-mediated endocytosis of epidermal growth factor receptor (EGFR), by its interaction with Activated Cdc42-associated kinase-2 (ACK2), thus implicating a role for SNX9 in signal transduction.
	Although the main cellular functions of SNX9 have been brought to light, little is known about the molecular mechanism by which this multi-domain protein participates in endocytosis and signaling. It is also unclear if and how the protein is regulated. In order to understand the interactions between the various domains of SNX9, we have crystallized and solved the structure of a shorter construct of SNX9 (here after called SNX9PX-BAR), which consists of only the PX and BAR domains. By analyzing this multi-domain structure and by conducting lipid- and vesicle-binding assays, we are able to gain a better understanding of how the two domains interact to influence the membrane binding ability of SNX9. 
	Our analysis of the structure of SNX9PX-BAR shows a dimeric BAR domain that is moderately curved. The BAR domain forms stable dimers via mainly hydrophobic interactions on the membrane surface. Membrane binding is most likely driven by electrostatic interactions between the PX-BAR domain and the negatively-charged plasma membrane. In addition, the PX domain of SNX9 shows high and specific binding affinity to PI(3)P, which is in high concentrations in early endosomes. Therefore, we propose that SNX9 might be localized to both the plasma membrane and the early endosomes to participate in endocytosis and sorting of vesicles.","Made available in DSpace on 2007-06-29T14:09:49Z (GMT). No. of bitstreams: 1
Kaan, Hung Yi Kristal.pdf: 801554 bytes, checksum: b54c3cf411f0e2f1aa87d2002d2aa9e7 (MD5)",801554 bytes,application/pdf,,,Structure of BAR and PX domains of Sorting Nexin 9 reveals cooperativity in membrane binding,Dissertation or Thesis,,,en_US,,,,,,,,,,,,,,,,,,,,,,
oai:ecommons.cornell.edu:1813/7844,"Koltz, Amanda",2007-06-29T14:17:23Z,2007-06-29T14:17:23Z,2007-06-29T14:17:23Z,http://hdl.handle.net/1813/7844,,"Although much marine mammal research has been conducted on whales in the waters surrounding Cape Cod, Massachusetts, little work has been done on the supposed resident fin whale (Balaenoptera physalus) population that resides in this area.  Fin whales have three different sounds in their vocal repertoire but a relatively simple song that is composed of long trains of high intensity 20-Hz pulses.  Performed only by males, the song may be a reproductive display with song characteristics evolutionarily fixed within populations.  In this study, fin whale vocalizations recorded in the area of Cape Cod Bay during the years 1961, 1978, 2001, and 2005 were characterized and compared within years to detect possible divergence in the male song.  Reliable comparisons with the earlier data proved difficult because of small sample sizes under the chosen song parameters.  However, measurements of inter-pulse interval and song length did vary significantly between the short time span of 2001 to 2005.  Mean inter-pulse intervals were shorter in 2001, and song duration was longer within the 2005 recordings.  Negative correlations between the center frequency and the song duration, as well as the center frequency and inter-pulse interval were also found.  Although we rejected the null hypothesis that song notes and features are fixed and do not change over time, we did discover valuable information regarding the relationships between different features of fin whale song.  Based on comparison of the temporal and individual variation observed in our data with those collected on a population in Bermuda, it is unclear whether vocal characteristics are distinct and could be an identifying feature of separate breeding populations.","Made available in DSpace on 2007-06-29T14:17:23Z (GMT). No. of bitstreams: 1
Koltz, Amanda.pdf: 442217 bytes, checksum: 62d69df4a16e397f3c1e1418ccc8453d (MD5)",442217 bytes,application/pdf,,,Changes in fin whale (Balaenoptera physalus) song over a forty-four year period in New England waters,Dissertation or Thesis,,,en_US,,,,,,,,,,,,,,,,,,,,,,
oai:ecommons.cornell.edu:1813/7845,"Kong, Fanrong",2007-06-29T14:27:54Z,2007-06-29T14:27:54Z,2007-06-29T14:27:54Z,http://hdl.handle.net/1813/7845,,"The phase diagram of the DSPC/DOPC/cholesterol biomembrane model system was recently determined by studies in our laboratory.  However, the component DOPC does not occur in animal cell plasma membranes, but was chosen for convenience in solving the phase diagram. In my study, DOPC was replaced stepwise by the naturally-occurring SOPC to determine its effect on the high cholesterol boundary of the L?+Lo two-phase region. Giant unilamellar vesicles with the chosen compositions, probed with the fluorescent dye C12:0-DiI, were made by electroswelling and their phase behaviors were examined by fluorescence microscopy. From 0 to 45% replacement of DOPC by SOPC, the middle part of the boundary shifts only a small amount, from cholesterol mole fraction 0.38 down to mole fraction 0.30 ? 0.35. The L? side of the boundary remains essentially unchanged. Above 50% replacement, photo-induced artifacts obscure the real phase behavior at the middle part of the boundary, but might represent the actual boundary termination.  Above 70% replacement of DOPC by SOPC, no phase-separation was observed for the L? side of the boundary. The size and shape of the L?+Lo two-phase region can be related to the structures of the lipids.","Made available in DSpace on 2007-06-29T14:27:54Z (GMT). No. of bitstreams: 1
Kong, Fanrong.pdf: 660323 bytes, checksum: 821f6f926ce9f16aa10dbdd8ba48f5f9 (MD5)",660323 bytes,application/pdf,,photo-induction,Effects of SOPC on the Phase Behaviors of the DSPC/DOPC/Cholesterol Biomembrane Model System,Dissertation or Thesis,,,en_US,,,,,,,,,,,,,,,,,,,,,,
oai:ecommons.cornell.edu:1813/7846,"Landi, Alicia",2007-06-29T14:38:44Z,2007-06-29T14:38:44Z,2007-06-29T14:38:44Z,http://hdl.handle.net/1813/7846,,"Nearly all understory plant species in semi-permanently flooded cypress-tupelo swamp forests grow on microsites located above the water level, as opposed to growing on the flooded forest floor. Our field study indicates that one such species, Itea virginica (Saxifragaceae), has a strong association with elevated microsites that changes with life  stage: adults are found significantly more often on the forest floor than seedlings, although not as frequently as expected for the amount of forest floor vs. elevated microsites present. High water level may inhibit seedling establishment, but not adult growth, thus suggesting a potential ontogenetic expansion of flooding tolerance. We conducted greenhouse flooding experiments on seedlings and adults of various sizes with three treatments: high flood (a percentage of aboveground biomass submerged), waterlogged (only root systems submerged), and control (no flooding). The effect of initial height above water and treatment on relative growth rate was significant for the seedlings: RGR decreased with increasing flood level; however, there was no significant effect for adults. Seedlings were more negatively affected by flooding than adults due primarily to their small size rather than any differences in ability to produce flood responses (i.e., enlarged lenticels or adventitious roots). Additionally, we conducted seed experiments investigating the effects of different substrates and durations of flooding on germination success; there were no significant effects of either factor on seed germination. This study increases our understanding of regeneration biology and can be valuable in planning restoration activities in cypress-tupelo swamps.","Made available in DSpace on 2007-06-29T14:38:44Z (GMT). No. of bitstreams: 1
Landi, Alicia.pdf: 130872 bytes, checksum: f8b7751b46d51fe37e31ea64339edaf6 (MD5)",130872 bytes,application/pdf,,,Relaxation of microhabitat restriction through ontogeny of Itea virginica in cypress-tupelo swamps,Dissertation or Thesis,,,en_US,,,,,,,,,,,,,,,,,,,,,,
oai:ecommons.cornell.edu:1813/7847,"League-Pike, Paloma",2007-06-29T15:09:47Z,2007-06-29T15:09:47Z,2007-06-29T15:09:47Z,http://hdl.handle.net/1813/7847,,"The green crab Carcinus maenas invaded the Gulf of Maine over a hundred years ago and has become a well-established member of intertidal communities. We surveyed the vertical distribution of Carcinus, other crabs, and their potential prey from the intertidal into the shallow subtidal. Carcinus was most abundant in the intertidal and decreased in the subtidal. In contrast, a preferred prey of Carcinus, the mussel Mytilus edulis, had highest densities in the shallow subtidal. Why isn?t Carcinus most abundant where prey densities are highest? A previous experiment revealed a higher mortality rate for Carcinus tethered in the subtidal than in the intertidal. In the subtidal there are higher abundances of the American lobster Homarus americanus and Jonah crab Cancer borealis. We performed a laboratory experiment to investigate the effects of cohabitation with lobster and C. borealis on survival, shelter use, and behavior of Carcinus. Lobsters were the more effective predator on Carcinus, consuming 27% of the crabs during 24 hours. Only 5% of Carcinus were eaten by C. borealis and none by conspecifics used in control treatments. In the presence of lobsters, Carcinus showed significantly more climbing and deep burrowing behavior relative to controls. Our results suggest that the risk of predation by lobsters underlies the scarcity of Carcinus in subtidal communities.","Made available in DSpace on 2007-06-29T15:09:47Z (GMT). No. of bitstreams: 1
League-Pike, Paloma.pdf: 1265296 bytes, checksum: a730a323b13b5ea26d465ecfd03578d2 (MD5)",1265296 bytes,application/pdf,,,When getting a meal may cost your life: Exploring the incongruous distribution between the green crab Carcinus maenas and its prey,Dissertation or Thesis,,,en_US,,,,,,,,,,,,,,,,,,,,,,
oai:ecommons.cornell.edu:1813/7848,"Levas, Stephen",2007-06-29T15:14:17Z,2007-06-29T15:14:17Z,2007-06-29T15:14:17Z,http://hdl.handle.net/1813/7848,,"Appledore Island, located six miles off the coast of Portsmouth, NH, has over 500 freshwater peripheral pools situated above the intertidal zone and range in size from semi permanent pools measuring 15 centimeters across to larger permanent pools up to about 10m diameter.  Seventy eight pools were physically monitored once every four days from June to August 2006 and have provided us with a deeper understanding on dynamics of pond community organization and how organisms cope with rapid and major physical changes.  Pools were monitored for temperature, conductivity, pH, dissolved oxygen, water color and clarity, and presence or absence of key macrofauna. The color and clarity of pools, which we used as a proxy for phytoplankton levels, varied throughout the summer and ranged between being always opaque to always clear, or cycling between these two states.  Cycling of pools is important for the macrofauna because it indicates varying conditions that organisms must contend with.  Clear pools had significantly lower dissolved oxygen levels, pH values and presumably, based on water clarity, lower phytoplankton stocks, while opaque pools had higher levels of both dissolved oxygen and pH and usually very high phytoplankton levels.  Diel vertical migration by Daphnia. pulex was observed in these island pools which is interesting because of the lack of vertebrate predators.  Significantly higher densities of D. pulex occurred in the top 10cm during the night than day.  With the absence of significant predators, physical or genetic factors must explain the observed migration to the surface at night by D. pulex.","Made available in DSpace on 2007-06-29T15:14:17Z (GMT). No. of bitstreams: 1
Levas, Stephen.pdf: 525628 bytes, checksum: 7f4afede5659993ef28b023eae95d95b (MD5)",525628 bytes,application/pdf,,,Dynamics of Supralittoral Freshwater Rock Pools in the Gulf of Maine,Dissertation or Thesis,,,en_US,,,,,,,,,,,,,,,,,,,,,,
oai:ecommons.cornell.edu:1813/7849,"Lowry, Erin",2007-06-29T15:18:47Z,2007-06-29T15:18:47Z,2007-06-29T15:18:47Z,http://hdl.handle.net/1813/7849,,"Viral infection can cause changes to a plant?s morphology or chemical composition that may alter its desirability to the insect vector.  In combination with viral persistence in the vector, prevalence of the disease, and the spatial distribution of infected plants, vector preference for virus-infected or uninfected individuals can strongly influence the rate of disease spread in plant communities (McElhany et al. 1995).  Although it is known that the presence of a virus in the host plant can lead to a change in feeding behavior and an increase in fecundity (Fereres et al. 1990, Fereres et al. 1989, Montllor and Gildow 1986), there is little evidence that vectors prefer infected hosts over uninfected hosts.  In this study, I examined host preference of the grass-feeding aphids Rhopalosiphum maidis, R. padi and Sitobion avenae when offered a variety of grasses infected or uninfected with the PAV species of barley yellow dwarf virus (BYDV).  The eight grass species used in the preference tests are commonly found in New York State and are known hosts of BYDV.  Preference tests were carried out in cages, where adult aphids were allowed to choose among grass seedlings.  To determine whether infection altered preference, aphids were offered either uninfected grass communities or communities that contained a mixture of infected and uninfected grass seedlings.  Results from these trials indicated strong species-specific preferences by aphids for particular grasses.  Although there was some indication that infection could alter preference, I found no evidence that infection caused a significant shift in preference ranking among grasses.","Made available in DSpace on 2007-06-29T15:18:47Z (GMT). No. of bitstreams: 1
Lowry, Erin.pdf: 109239 bytes, checksum: dcf1c04f83c41b9e9cf3d57929bd56ed (MD5)",109239 bytes,application/pdf,,,The role of aphid host preference in barley yellow dwarf virus epidemiology,Dissertation or Thesis,,,en_US,,,,,,,,,,,,,,,,,,,,,,
oai:ecommons.cornell.edu:1813/7850,"McKinney, Caleb",2007-06-29T15:28:02Z,2007-06-29T15:28:02Z,2007-06-29T15:28:02Z,http://hdl.handle.net/1813/7850,,"Marek's disease (MD) is a lymphoproliferative disease of chickens caused by cell-associated Marek's disease virus (MDV). The Us3 protein kinase expressed by MDV has been shown to be involved in various stages of the viral life cycle. Deletion of the Us3 open reading frame resulted in an accumulation of primarily enveloped virions in the perinuclear space which led to a reduction in viral titers (Schumacher et al., 2005). It was also shown that the Us3 protein is involved in actin stress fiber breakdown. In this study we constructed a recombinant virus (Us3*220A) to determine the significance of the Us3 kinase activity. Disruption of the kinase activity was achieved by substituting a lysine in the active site of the protein with an alanine. Titers of the kinase-negative virus were reduced when compared to parental virus in a similar fashion as the previously described Us3 deletion mutant.  We were able to show complete absence of direct phosphorylation of an MDV-specific phosphoprotein, pp38 by pUs3*220A. Surprisingly, expression of pUs3*220A mediated breakdown of the actin cytoskeleton 24h after transfection of chicken embryo fibroblasts in the same way wildtype pUs3* does.  At 48h post transfection the actin cytoskeleton was fully restored in almost all transfected cells. Our results show that the Us3 and pp38 proteins comprise a kinase-substrate pair but that not all of Us3 functions are mediated by its kinase activity.","Made available in DSpace on 2007-06-29T15:28:02Z (GMT). No. of bitstreams: 1
McKinney, Caleb.pdf: 370584 bytes, checksum: 6b5506a17fb3d65ea6171dad9777e93a (MD5)",370584 bytes,application/pdf,,,The Functionality of Marek's Disease Virus Us3 Protein,Dissertation or Thesis,,,en_US,,,,,,,,,,,,,,,,,,,,,,
oai:ecommons.cornell.edu:1813/7851,"Muakkassa, Nora",2007-06-29T15:33:11Z,2007-06-29T15:33:11Z,2007-06-29T15:33:11Z,http://hdl.handle.net/1813/7851,,"The Dbl protein is a product of a proto-oncogene that functions as a guanine nucleotide exchange factor for Rho-family GTPases. It is responsible for activating the GTPases by facilitating the dissociation of GDP thus allowing for the binding of GTP. Intracellular levels of Dbl are regulated by ubiquitin-mediated proteolysis. CHIP is the E3 protein-ubiquitin ligase responsible for this ubiquitination. More specifically, the Ubox domain of CHIP is critical to this interaction. Oncogenic Dbl, which lacks its spectrin domain, cannot bind CHIP and therefore escapes degradation. This causes accumulation of the oncogene product in the cell, and leads to persistent activation of its downstream pathways.","Made available in DSpace on 2007-06-29T15:33:11Z (GMT). No. of bitstreams: 1
Muakkassa, Nora.pdf: 581093 bytes, checksum: 349da44531b36cc9707fc6d6875b3260 (MD5)",581093 bytes,application/pdf,,,Regulation of Proto-Dbl through the Ubox Domain of CHIP,Dissertation or Thesis,,,en_US,,,,,,,,,,,,,,,,,,,,,,
oai:ecommons.cornell.edu:1813/7852,"Owens, Gwen",2007-06-29T15:53:23Z,2007-06-29T15:53:23Z,2007-06-29T15:53:23Z,http://hdl.handle.net/1813/7852,,"In this study, growth factor binding found in natural extra-cellular matrix (ECM) was mimicked by a modified polymer scaffold that could attract either Insulin-Like Growth Factor-I (IGF-I), a growth factor known to stimulate ECM production by chondrocytes, and Transforming Growth Factor-B1 (TGF-B1), a growth factor known to induce chondrogenesis in mesenchymal stem cells.

Short growth factor-binding peptides were synthesized and covalently attached to an alginate polymer scaffold.  Using self-assembled monolayer (SAM) chemistry, these modified alginate layers were characterized using Imaging Ellipsometry (IE).  Affinity of each growth factor for its respective synthetic peptide was quantified via Surface Plasmon Resonance (SPR).  The density of binding peptides bound to alginate was determined using Attenuated Total Reflectance Fourier Transform Infrared Spectroscopy (ATR-FTIR).  Computational diffusion modeling was used to design an ELISA-based diffusion experiment.  Mesenchymal stem cells and chondrocytes were grown in chemically modified-alginate beads with and without added growth factor; modification increased ECM production in both kinds of cells.  Thus, through this novel system of peptide-modified alginate scaffolds, growth factors were specifically but non-covalently retained by alginate, allowing for controlled release of growth factors.","Made available in DSpace on 2007-06-29T15:53:23Z (GMT). No. of bitstreams: 1
Owens, Gwen.pdf: 586572 bytes, checksum: bea63150426def43c762f01d2bd25279 (MD5)",586572 bytes,application/pdf,,,Engineering a Synthetic Extra-Cellular Matrix for In Vitro Cartilage Tissue Production,Dissertation or Thesis,,,en_US,,,,,,,,,,,,,,,,,,,,,,
oai:ecommons.cornell.edu:1813/7854,"Paddock, Sara",2007-06-29T15:57:54Z,2007-06-29T15:57:54Z,2007-06-29T15:57:54Z,http://hdl.handle.net/1813/7854,,"Stable isotopes are useful tools for discerning information regarding the foraging ecology of far-ranging animals like sea turtles.  Isotope signatures of prey items are integrated into the turtles? tissues in a characteristic manner, and in the case of nesting females, eggshell isotopic signatures can provide insight into the trophic status and foraging locations of the adult females.  By sampling eggshells from nesting beaches, one can obtain a unique, wide-range perspective that might not be observed by sampling turtles directly within foraging areas.  In the present study, leatherback turtle eggshells were collected from 21 different nests on the nesting beach in Jamursba Medi, Papua, Indonesia in the Western Pacific in July 2003.  Habitat samples, including particulate organic matter, krill, gelatinous organisms, squid, and small fish were collected with dip nets and bongo tows in the Eastern Pacific, off the west coast of the United States. Eggshell ?13C values were similar for all eggshell samples (-13.2 ? 1.2 ?).  However, there was a dichotomy in ?15N values, with 62% of the eggshells in the 9.2?-10.8? range and 38% in the 12.5?-14.5? range.  Comparing these values with the ?15N values of habitat samples analyzed in this study and others as well as with information on Pacific-wide nitrogen fixation/denitrification patterns, suggests that these two ?15N groupings represent animals foraging in the Western Pacific and Eastern Pacific, respectively.  These data are consistent with satellite telemetry data and suggest that ?15N isotope analysis can be an effective, non-invasive method to gain knowledge about turtle foraging locations that may prove useful in conservation efforts.","Made available in DSpace on 2007-06-29T15:57:54Z (GMT). No. of bitstreams: 1
Paddock, Sara.pdf: 737526 bytes, checksum: 0fca508f6b1f5bf7e896874188d04aec (MD5)",737526 bytes,application/pdf,,,Characterizing the foraging ecology of leatherback turtles (Dermochelys coriacea) using stable carbon and nitrogen isotopes of eggshells,Dissertation or Thesis,,,en_US,,,,,,,,,,,,,,,,,,,,,,
